Date,Open,High,Low,Close,Adj Close,Volume
2018-08-28,565.239990,565.510010,563.030029,563.030029,563.030029,69253800
2018-08-29,564.400024,565.580017,561.969971,565.150024,565.150024,57073000
2018-08-30,564.539978,564.539978,561.090027,563.369995,563.369995,83565400
2018-08-31,561.950012,562.140015,557.929993,558.419983,558.419983,90427100
2018-09-03,558.500000,560.460022,557.700012,559.780029,559.780029,47807900
2018-09-04,560.630005,561.609985,551.809998,553.409973,553.409973,87498100
2018-09-05,551.789978,552.349976,546.520020,546.909973,546.909973,94624000
2018-09-06,545.010010,546.260010,539.369995,539.369995,539.369995,89580700
2018-09-07,539.369995,539.369995,533.909973,538.510010,538.510010,149680700
2018-09-10,537.669983,541.369995,537.590027,539.799988,539.799988,79536600
2018-09-11,540.210022,540.280029,536.239990,539.789978,539.789978,93886900
2018-09-12,539.619995,543.359985,537.349976,540.270020,540.270020,89575700
2018-09-13,539.770020,542.150024,538.700012,539.520020,539.520020,86315800
2018-09-14,541.320007,542.510010,539.650024,540.530029,540.530029,88139100
2018-09-17,539.989990,542.599976,538.890015,540.849976,540.849976,76985200
2018-09-18,540.760010,543.460022,539.820007,543.059998,543.059998,85129000
2018-09-19,543.390015,544.710022,540.849976,543.070007,543.070007,97397600
2018-09-20,543.609985,548.219971,543.609985,547.450012,547.450012,112076500
2018-09-21,549.020020,550.979980,548.770020,549.789978,549.789978,163207400
2018-09-24,548.590027,550.390015,547.659973,548.429993,548.429993,78689400
2018-09-25,549.510010,553.320007,549.500000,552.640015,552.640015,88733600
2018-09-26,552.989990,552.989990,550.200012,552.349976,552.349976,69893000
2018-09-27,550.510010,554.340027,549.520020,553.750000,553.750000,78815100
2018-09-28,552.150024,553.489990,546.520020,549.619995,549.619995,108735200
2018-10-01,550.080017,554.049988,549.979980,552.549988,552.549988,71272100
2018-10-02,549.960022,550.099976,546.140015,549.330017,549.330017,77396500
2018-10-03,551.219971,553.719971,549.919983,552.849976,552.849976,74898500
2018-10-04,552.049988,552.309998,543.380005,544.119995,544.119995,97496500
2018-10-05,544.270020,544.710022,538.960022,539.510010,539.510010,79580300
2018-10-08,538.090027,538.559998,532.619995,533.520020,533.520020,77396600
2018-10-09,534.909973,537.809998,530.669983,536.950012,536.950012,79234500
2018-10-10,537.250000,537.369995,528.030029,528.030029,528.030029,113802000
2018-10-11,520.969971,524.830017,516.989990,517.890015,517.890015,135586300
2018-10-12,522.820007,522.869995,516.099976,516.289978,516.289978,105870300
2018-10-15,516.280029,519.119995,512.669983,518.359985,518.359985,82735600
2018-10-16,518.359985,526.659973,517.719971,526.179993,526.179993,95009600
2018-10-17,531.429993,533.429993,525.330017,527.580017,527.580017,99667100
2018-10-18,526.909973,529.119995,523.869995,523.869995,523.869995,97537900
2018-10-19,525.140015,527.859985,521.909973,525.169983,525.169983,114243800
2018-10-22,526.950012,527.489990,518.700012,519.080017,519.080017,83161300
2018-10-23,513.549988,514.419983,509.200012,510.859985,510.859985,110356600
2018-10-24,511.929993,515.520020,507.600006,507.799988,507.799988,105605000
2018-10-25,504.339996,513.640015,504.170013,513.159973,513.159973,106009200
2018-10-26,508.799988,509.089996,500.450012,507.519989,507.519989,108009600
2018-10-29,507.970001,514.210022,507.820007,509.399994,509.399994,70268600
2018-10-30,510.760010,512.320007,505.500000,510.730011,510.730011,81777300
2018-10-31,516.190002,520.210022,516.000000,518.710022,518.710022,103565300
2018-11-01,519.900024,523.080017,518.940002,520.799988,520.799988,111225100
2018-11-02,528.179993,528.450012,521.799988,521.799988,521.799988,98587700
2018-11-05,522.239990,524.760010,521.140015,521.940002,521.940002,68267300
2018-11-06,523.789978,523.840027,520.130005,522.309998,522.309998,72993100
2018-11-07,524.929993,529.719971,524.859985,528.570007,528.570007,95749300
2018-11-08,530.780029,531.609985,527.580017,528.479980,528.479980,70555400
2018-11-09,526.380005,530.049988,524.989990,529.549988,529.549988,72931100
2018-11-12,533.450012,534.210022,525.869995,526.099976,526.099976,63952400
2018-11-13,527.960022,530.049988,525.150024,529.609985,529.609985,75786400
2018-11-14,524.780029,530.820007,522.109985,527.140015,527.140015,82888900
2018-11-15,527.159973,528.650024,519.969971,524.890015,524.890015,92174500
2018-11-16,527.239990,528.590027,520.070007,522.429993,522.429993,98672900
2018-11-19,524.239990,526.320007,518.400024,518.900024,518.900024,65069800
2018-11-20,515.789978,516.239990,506.899994,510.480011,510.480011,100696600
2018-11-21,513.260010,517.840027,512.530029,517.340027,517.340027,84703900
2018-11-22,515.669983,516.299988,513.739990,514.099976,514.099976,93675200
2018-11-23,514.369995,515.619995,509.459991,513.849976,513.849976,79550300
2018-11-26,518.059998,520.429993,516.200012,518.909973,518.909973,115496700
2018-11-27,519.500000,520.330017,516.090027,519.559998,519.559998,94370300
2018-11-28,521.950012,522.650024,518.429993,519.580017,519.580017,105367200
2018-11-29,523.570007,523.859985,518.159973,520.280029,520.280029,93258200
2018-11-30,520.380005,521.109985,516.849976,519.369995,519.369995,138740300
2018-12-03,529.739990,530.030029,523.479980,523.869995,523.869995,98319400
2018-12-04,523.840027,525.250000,522.270020,523.229980,523.229980,90545600
2018-12-05,518.440002,518.700012,515.979980,516.039978,516.039978,70747700
2018-12-06,510.709991,511.000000,496.640015,498.920013,498.920013,132747800
2018-12-07,502.480011,509.519989,502.160004,503.980011,503.980011,97541300
2018-12-10,500.750000,502.529999,493.570007,495.309998,495.309998,105459500
2018-12-11,498.410004,505.220001,497.809998,501.010010,501.010010,93346200
2018-12-12,503.670013,511.839996,503.670013,509.720001,509.720001,93602600
2018-12-13,511.149994,511.519989,506.279999,508.269989,508.269989,95128800
2018-12-14,503.429993,508.190002,500.239990,506.529999,506.529999,81710100
2018-12-17,504.890015,504.890015,498.079987,500.079987,500.079987,79174200
